year,team,avg_matchup_diff
2023,New York Jets,-117.40446597215424
2023,Philadelphia Eagles,159.5896844726999
2023,Pittsburgh Steelers,23.94975034649893
2023,San Francisco 49ers,198.62085034280594
2023,Seattle Seahawks,-2.149696658556128
2023,Tampa Bay Buccaneers,3.6630393185444663
2023,Tennessee Titans,-96.84083600980145
2023,Washington Commanders,-119.40021504380587
2024,Arizona Cardinals,-73.87552818484775
2024,Atlanta Falcons,-39.82045458000757
2024,Baltimore Ravens,161.36316890572084
2024,Buffalo Bills,207.2404544746279
2024,Carolina Panthers,-256.00268844010475
2024,Chicago Bears,-136.68090906075048
2024,Cincinnati Bengals,20.6862020775805
2024,Cleveland Browns,-182.31540836116673
2024,Dallas Cowboys,-10.746334964696857
2024,Denver Broncos,8.143380054866888
2024,Detroit Lions,216.85712697667182
2024,Green Bay Packers,97.70993757915896
2024,Houston Texans,34.11314579110673
2024,Indianapolis Colts,-21.49594576413471
2024,Jacksonville Jaguars,-115.99338438474814
2024,Kansas City Chiefs,283.6483722683957
2024,Las Vegas Raiders,-135.18175613817806
2024,Los Angeles Chargers,16.367894539657804
2024,Los Angeles Rams,26.779751454907192
2024,Miami Dolphins,4.295954524318578
2024,Minnesota Vikings,116.97289913239804
2024,New England Patriots,-203.73341938125895
2024,New Orleans Saints,-62.419405566728905
2024,New York Giants,-192.50554137875582
2024,New York Jets,-131.57679031020848
2024,Philadelphia Eagles,169.27204929926955
2024,Pittsburgh Steelers,68.1169541068228
2024,San Francisco 49ers,26.320886114232895
2024,Seattle Seahawks,16.425675227785767
2024,Tampa Bay Buccaneers,73.71852310201508
2024,Tennessee Titans,-180.86255903386865
2024,Washington Commanders,6.29341117087057
