year,team,avg_elo,max_elo,min_elo
2019,Denver Broncos,1409.773322538236,1485.4409777471897,1330.2919097360837
2019,Detroit Lions,1409.019056820869,1532.9888031505247,1270.718098279511
2019,Green Bay Packers,1590.386385219379,1700.0883692660254,1486.3969044000391
2019,Houston Texans,1611.3003266795133,1677.3015790114405,1542.4240438580025
2019,Indianapolis Colts,1580.5608033594717,1669.41490472614,1451.934533425
2019,Jacksonville Jaguars,1381.5761232079583,1454.8521485364497,1281.3452566873227
2019,Kansas City Chiefs,1683.3141150655945,1848.4788374950915,1596.431541961833
2019,Las Vegas Raiders,1418.1393971929656,1492.7098129262642,1343.8164207460798
2019,Los Angeles Chargers,1511.8362358408244,1636.8488275318985,1409.3954318759168
2019,Los Angeles Rams,1623.3321209319045,1717.0575801421276,1569.0015944951278
2019,Miami Dolphins,1296.4402048408153,1354.3237441580231,1245.36893450231
2019,Minnesota Vikings,1612.7101251311176,1687.0145353752328,1533.1159772889462
2019,New England Patriots,1731.1825708108122,1787.61307634641,1627.1825682342294
2019,New Orleans Saints,1698.1005128900663,1744.6272792498069,1622.406784907761
2019,New York Giants,1329.195111142875,1432.3401595246044,1238.507150446663
2019,New York Jets,1329.767496215957,1445.9524120867047,1260.7048069308894
2019,Philadelphia Eagles,1539.6429602394228,1609.8997024430803,1475.396901088598
2019,Pittsburgh Steelers,1525.8139991427638,1584.7094080435784,1464.8681142603446
2019,San Francisco 49ers,1639.9633795579878,1781.9091725365408,1441.8116646738704
2019,Seattle Seahawks,1627.509560858903,1709.2573691934554,1575.3468682090029
2019,Tampa Bay Buccaneers,1402.0039888652416,1514.743008393969,1339.6455798979523
2019,Tennessee Titans,1556.7697620540728,1695.9512174519405,1454.6596491211328
2019,Washington Commanders,1320.5454031688287,1403.368570666848,1254.468713608303
2020,Arizona Cardinals,1477.572053753661,1529.820321301722,1390.811758133306
2020,Atlanta Falcons,1432.1420654075127,1493.26131858355,1376.3973786796746
2020,Baltimore Ravens,1699.5419300566446,1757.8797823448851,1630.2282613491066
2020,Buffalo Bills,1645.854686511588,1808.7145862650636,1535.0509475883564
2020,Carolina Panthers,1353.9086544170666,1423.0694130430695,1304.2020298589096
2020,Chicago Bears,1517.155615273258,1589.4452678909106,1412.1582779648184
2020,Cincinnati Bengals,1291.0077300661171,1339.4633578469325,1206.3194885901282
2020,Cleveland Browns,1513.4853524749533,1601.4890366290497,1408.1313291750955
2020,Dallas Cowboys,1417.8842648454472,1524.329089858793,1330.1327548159584
2020,Denver Broncos,1435.577102417132,1480.545091256255,1360.3416245521346
2020,Detroit Lions,1340.2198411176846,1421.2441742425851,1279.8247550450944
2020,Green Bay Packers,1689.0307972980509,1784.0698868006064,1629.3665001849135
2020,Houston Texans,1468.269997309123,1568.5223476485637,1358.0841139901895
2020,Indianapolis Colts,1572.3154998598543,1652.8216742165373,1433.448218174565
2020,Jacksonville Jaguars,1257.287101719772,1423.631384423178,1159.9620691261257
2020,Kansas City Chiefs,1845.8972266658043,1901.3912129471423,1776.8500864418168
2020,Las Vegas Raiders,1465.675089507072,1542.9136252443511,1389.2143130828238
2020,Los Angeles Chargers,1383.8512377571572,1467.7464114297102,1307.6590062771545
2020,Los Angeles Rams,1611.1124568087787,1659.0020583126072,1576.2465794907691
2020,Miami Dolphins,1482.58872747888,1579.1955920202715,1341.0651930878482
2020,Minnesota Vikings,1497.802098900907,1554.521872286516,1445.8391976477783
2020,New England Patriots,1533.5407926410655,1606.2509965507052,1472.5794718864129
2020,New Orleans Saints,1681.940858863449,1767.9483746858778,1581.69723785804
2020,New York Giants,1331.7684180691833,1436.3812464798357,1273.979816172999
2020,New York Jets,1274.98499527513,1436.6649554227777,1178.4318985951836
2020,Philadelphia Eagles,1425.7287481899787,1475.5945850875044,1342.1433130758833
2020,Pittsburgh Steelers,1642.0682763086593,1748.7168584626709,1523.9987697090417
2020,San Francisco 49ers,1584.2614192518513,1677.4840755852003,1472.8891936669625
2020,Seattle Seahawks,1636.8676565145163,1681.548530158979,1591.7397860502986
2020,Tampa Bay Buccaneers,1598.7070079015625,1809.3995214912395,1452.1325919616893
2020,Tennessee Titans,1653.3786885148415,1721.7577921786217,1595.063862504341
2020,Washington Commanders,1339.4164603435177,1440.6730005114698,1254.6701199250358
2021,Arizona Cardinals,1602.1821756058441,1676.56154043654,1508.9644208295472
2021,Atlanta Falcons,1390.034017469853,1429.000489631807,1364.550247856773
2021,Baltimore Ravens,1622.0226870878448,1723.646268197369,1463.3967109695277
2021,Buffalo Bills,1700.8404280095294,1773.7930997733258,1644.6222700423934
2021,Carolina Panthers,1365.6130839527782,1494.051402361118,1265.5805269170908
2021,Chicago Bears,1435.8211067728791,1513.2929937018034,1362.2593936637356
2021,Cincinnati Bengals,1479.072246419617,1656.2880242904853,1359.6776078654675
2021,Cleveland Browns,1541.6912519920945,1624.1641479992554,1465.1622274251963
2021,Dallas Cowboys,1563.4208073497393,1644.1032639277648,1433.9143520058822
2021,Denver Broncos,1424.6777016944716,1482.5188225276868,1361.3054823171512
2021,Detroit Lions,1244.4351311270973,1311.739849291909,1183.1158103577216
2021,Green Bay Packers,1705.7346481383986,1765.370954985567,1627.6132294587928
2021,Houston Texans,1306.9688352515632,1412.3752709602277,1224.9876702584368
2021,Indianapolis Colts,1570.5597879930417,1673.060818601079,1492.6689851943345
2021,Jacksonville Jaguars,1192.7853115039297,1253.4139626003662,1124.3909838456818
2021,Kansas City Chiefs,1718.0233042028892,1798.9302861066667,1624.356820224345
2021,Las Vegas Raiders,1485.0312070986236,1556.4092275071498,1403.1300752983093
2021,Los Angeles Chargers,1518.7043590036105,1582.2856127969335,1465.3148565559677
2021,Los Angeles Rams,1670.2647673289289,1818.4734632605791,1585.787397877749
2021,Miami Dolphins,1471.0766792914274,1573.48083550951,1356.2602097367503
2021,Minnesota Vikings,1480.5960283955267,1539.837269708696,1422.8839962400668
2021,New England Patriots,1556.0720437103569,1714.0714583162314,1444.3673229348262
2021,New Orleans Saints,1602.5176015770485,1703.4634793383657,1494.9713587983942
2021,New York Giants,1351.705781085315,1420.2120288745723,1261.6261699690024
2021,New York Jets,1267.255543221749,1303.3329904859331,1230.0984808997785
2021,Philadelphia Eagles,1444.2582909231062,1557.789546633167,1359.8659690393358
2021,Pittsburgh Steelers,1531.06959162415,1592.2726996036768,1477.834684966373
2021,San Francisco 49ers,1541.5387242860402,1703.606356490865,1432.0162105274164
2021,Seattle Seahawks,1508.3709588719566,1636.522678463279,1436.4331473922289
2021,Tampa Bay Buccaneers,1724.0671288333597,1763.1446217615603,1677.7617635188544
2021,Tennessee Titans,1632.9907002276125,1743.8999441762055,1530.2369938708737
2021,Washington Commanders,1421.4923580403552,1501.9360183741226,1356.8372103804804
2022,Arizona Cardinals,1426.6918091000157,1513.109968893313,1292.1620122139502
2022,Atlanta Falcons,1411.1199757827037,1486.8765185891357,1341.7561874726623
2022,Baltimore Ravens,1536.0194725350152,1602.173743115498,1472.203284295107
2022,Buffalo Bills,1734.6133132656007,1784.6822200616025,1684.1984351720405
2022,Carolina Panthers,1344.3353763847786,1453.2504889641357,1279.777283536771
2022,Chicago Bears,1361.7616340446393,1478.0686358888036,1234.31552710215
2022,Cincinnati Bengals,1639.3609972600755,1805.6116521090337,1515.21988006415
2022,Cleveland Browns,1448.743644105898,1518.9077755584524,1373.4017698313298
2022,Dallas Cowboys,1631.4135454910677,1686.4034480628825,1531.0251196538084
2022,Denver Broncos,1348.1138716503992,1444.3242373865835,1283.6914581736955
2022,Detroit Lions,1384.033971355406,1528.349503571568,1269.8796403757844
2022,Green Bay Packers,1547.5474332671092,1658.8178428072515,1464.8382924542418
2022,Houston Texans,1277.903325031954,1358.0061554930758,1214.759991721818
2022,Indianapolis Colts,1451.9136760200445,1543.582064737194,1283.6268375879629
2022,Jacksonville Jaguars,1352.2125599698063,1534.2788190944975,1239.362419056161
2022,Kansas City Chiefs,1759.2688256841207,1883.5438827055048,1687.756020976248
2022,Las Vegas Raiders,1436.9832132953381,1483.8013988003818,1353.0085802179126
2022,Los Angeles Chargers,1516.1348901774627,1599.3098339145356,1455.3126202937117
2022,Los Angeles Rams,1537.202951145465,1715.8382541473172,1410.3700692742743
2022,Miami Dolphins,1554.3987826599432,1642.0889864839137,1475.4348250394376
2022,Minnesota Vikings,1608.36253105142,1690.272451021522,1515.410164061131
2022,New England Patriots,1540.850315291714,1595.1057908123232,1492.9599685057133
2022,New Orleans Saints,1468.1388754907755,1566.982914987629,1412.0515558590043
2022,New York Giants,1444.4122227984576,1510.3457671541564,1368.7536050215165
2022,New York Jets,1411.1586441618542,1497.7646715721332,1275.3592045854166
2022,Philadelphia Eagles,1657.2338905097927,1745.834842983228,1515.2121608060047
2022,Pittsburgh Steelers,1493.9773110464646,1590.3595993596482,1434.1595378046454
2022,San Francisco 49ers,1675.0717449162312,1807.6473598780888,1548.0269140698017
2022,Seattle Seahawks,1503.9132023365282,1587.4950057589494,1444.4758088614335
2022,Tampa Bay Buccaneers,1567.3165096812656,1713.1242390119592,1447.6757453155806
2022,Tennessee Titans,1552.0018522575824,1649.3114403750951,1406.0128840869695
2022,Washington Commanders,1454.203779154712,1540.041208456499,1353.668314965194
2023,Arizona Cardinals,1303.836536109052,1353.7247232732404,1251.9093122441066
2023,Atlanta Falcons,1421.4722113404498,1502.8869274391795,1346.4497493791996
